time,value
00:00,4367.850
00:05,4319.340
00:10,4301.510
00:15,4251.570
00:20,4229.700
00:25,4208.840
00:30,4173.310
00:35,4127.180
00:40,4126.710
00:45,4118.210
00:50,4084.730
00:55,4060.820
01:00,4047.550
01:05,4065.330
01:10,4053.390
01:15,4019.700
01:20,3999.160
01:25,3979.330
01:30,3962.110
01:35,3937.890
01:40,3908.600
01:45,3895.280
01:50,3895.870
01:55,3878.960
02:00,3867.570
02:05,3847.890
02:10,3835.200
02:15,3817.430
02:20,3806.770
02:25,3778.980
02:30,3769.230
02:35,3751.360
02:40,3782.230
02:45,3752.660
02:50,3737.860
02:55,3719.930
03:00,3711.420
03:05,3698.590
03:10,3684.050
03:15,3672.240
03:20,3650.670
03:25,3639.720
03:30,3625.840
03:35,3613.010
03:40,3612.620
03:45,3581.960
03:50,3573.920
03:55,3557.710
04:00,3552.390
04:05,3534.700
04:10,3499.710
04:15,3503.170
04:20,3489.770
04:25,3478.350
04:30,3465.380
04:35,3464.660
04:40,3453.700
04:45,3421.950
04:50,3411.370
04:55,3407.100
05:00,3402.760
05:05,3416.470
05:10,3386.990
05:15,3385.920
05:20,3392.620
05:25,3390.600
05:30,3400.930
05:35,3401.850
05:40,3415.560
05:45,3422.850
05:50,3419.730
05:55,3434.720
06:00,3450.190
06:05,3449.660
06:10,3453.590
06:15,3454.760
06:20,3467.150
06:25,3488.730
06:30,3442.280
06:35,3450.920
06:40,3463.870
06:45,3479.400
06:50,3473.540
06:55,3462.770
07:00,3450.830
07:05,3456.630
07:10,3436.240
07:15,3448.390
07:20,3427.040
07:25,3437.100
07:30,3415.750
07:35,3408.260
07:40,3411.350
07:45,3390.150
07:50,3391.990
07:55,3402.180
08:00,3404.200
08:05,3421.780
08:10,3412.130
08:15,3442.250
08:20,3463.310
08:25,3490.000
08:30,3517.330
08:35,3547.180
08:40,3576.700
08:45,3562.840
08:50,3612.320
08:55,3625.220
09:00,3649.320
09:05,3706.470
09:10,3728.140
09:15,3805.790
09:20,3838.320
09:25,3934.950
09:30,3932.020
09:35,4026.980
09:40,4040.000
09:45,4085.100
09:50,4163.600
09:55,4159.460
10:00,4164.340
10:05,4173.520
10:10,4166.610
10:15,4216.920
10:20,4247.570
10:25,4287.490
10:30,4298.340
10:35,4369.520
10:40,4358.690
10:45,4367.260
10:50,4417.030
10:55,4410.370
11:00,4414.520
11:05,4437.870
11:10,4452.100
11:15,4430.440
11:20,4456.880
11:25,4465.940
11:30,4472.770
11:35,4456.090
11:40,4466.960
11:45,4459.050
11:50,4458.370
11:55,4455.230
12:00,4468.210
12:05,4478.380
12:10,4443.660
12:15,4466.830
12:20,4460.120
12:25,4498.700
12:30,4512.840
12:35,4492.790
12:40,4472.840
12:45,4494.880
12:50,4473.730
12:55,4464.920
13:00,4411.740
13:05,4338.620
13:10,4276.190
13:15,4282.180
13:20,4271.300
13:25,4270.690
13:30,4264.900
13:35,4309.160
13:40,4311.210
13:45,4352.780
13:50,4386.170
13:55,4374.230
14:00,4386.340
14:05,4425.970
14:10,4433.210
14:15,4489.830
14:20,4539.100
14:25,4513.170
14:30,4547.270
14:35,4566.200
14:40,4603.700
14:45,4640.100
14:50,4638.220
14:55,4638.190
15:00,4627.670
15:05,4678.020
15:10,4674.490
15:15,4694.630
15:20,4703.480
15:25,4708.950
15:30,4701.650
15:35,4660.310
15:40,4657.280
15:45,4662.640
15:50,4647.290
15:55,4636.890
16:00,4644.840
16:05,4648.970
16:10,4616.700
16:15,4617.140
16:20,4624.200
16:25,4642.130
16:30,4606.200
16:35,4617.970
16:40,4585.000
16:45,4604.710
16:50,4609.650
16:55,4548.570
17:00,4557.610
17:05,4535.470
17:10,4532.690
17:15,4520.210
17:20,4487.630
17:25,4493.740
17:30,4472.850
17:35,4480.470
17:40,4480.730
17:45,4431.850
17:50,4469.900
17:55,4458.120
18:00,4466.640
18:05,4444.050
18:10,4451.190
18:15,4482.760
18:20,4509.920
18:25,4533.280
18:30,4553.520
18:35,4596.340
18:40,4626.870
18:45,4577.530
18:50,4610.300
18:55,4581.990
19:00,4557.400
19:05,4580.640
19:10,4559.080
19:15,4530.590
19:20,4568.410
19:25,4540.020
19:30,4509.010
19:35,4531.620
19:40,4521.780
19:45,4506.070
19:50,4476.780
19:55,4445.250
20:00,4447.770
20:05,4412.160
20:10,4379.320
20:15,4362.500
20:20,4346.320
20:25,4333.860
20:30,4334.640
20:35,4336.750
20:40,4323.320
20:45,4290.830
20:50,4272.080
20:55,4255.230
21:00,4253.090
21:05,4197.500
21:10,4192.850
21:15,4221.790
21:20,4252.000
21:25,4229.050
21:30,4267.510
21:35,4271.100
21:40,4277.570
21:45,4303.280
21:50,4329.500
21:55,4334.580
22:00,4336.390
22:05,4346.350
22:10,4364.130
22:15,4371.360
22:20,4376.520
22:25,4408.260
22:30,4421.150
22:35,4407.410
22:40,4440.540
22:45,4445.210
22:50,4466.510
22:55,4483.640
23:00,4491.030
23:05,4508.270
23:10,4484.300
23:15,4472.650
23:20,4462.070
23:25,4460.090
23:30,4464.460
23:35,4476.190
23:40,4488.880
23:45,4472.690
23:50,4450.630
23:55,4426.040
